timestamp,reportingGroup,locationName,value,unit
17/03/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,0,7700000000000002,kWh
18/03/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,0,7600000000000002,kWh
19/03/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,3,8399999999999994,kWh
20/03/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,4,809999999999998,kWh
21/03/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,15,6,kWh
22/03/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,25,31000000000001,kWh
23/03/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,13,979999999999997,kWh
24/03/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,0,7300000000000001,kWh
25/03/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,8,409999999999998,kWh
26/03/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,33,42000000000001,kWh
27/03/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,17,849999999999994,kWh
28/03/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,18,729999999999997,kWh
29/03/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,15,179999999999996,kWh
30/03/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,27,77,kWh
31/03/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,0,6900000000000002,kWh
01/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,10,719999999999997,kWh
02/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,10,709999999999997,kWh
03/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,10,859999999999998,kWh
04/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,33,220000000000006,kWh
05/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,37,470000000000006,kWh
06/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,83,5,kWh
07/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,66,98000000000002,kWh
08/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,14,169999999999996,kWh
09/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,19,829999999999995,kWh
10/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,42,949999999999996,kWh
11/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,60,8,kWh
12/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,56,619999999999976,kWh
13/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,61,21999999999999,kWh
14/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,0,7100000000000002,kWh
15/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,52,61999999999998,kWh
16/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,58,749999999999986,kWh
17/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,61,82999999999999,kWh
18/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,58,46999999999999,kWh
19/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,0,7300000000000002,kWh
20/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,60,92999999999999,kWh
21/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,0,7600000000000002,kWh
22/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,0,7500000000000002,kWh
23/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,64,35,kWh
24/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,56,50999999999999,kWh
25/04/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,49,29,kWh
